日期,代码,名称,现价,涨幅(%),成交量,离SMA200(%),条件,参组,参数,行业,总市值(亿),流通市值(亿),FC1,FC2,FC3,FC4,FC5,FC6,FC7,FC8,FC9,FC10,FC11,FC12,FC13,FC14,FC15,FC16,FC17,FC18,FC19,FC20,FC21,FC22,FC23,FC24,FC25,FC26,FC27,FC28,FC29,FC30
2026-08-04,002837,英维克,49.43,6.42,466669.0,-43.05,,suf,"{""suf"": {""timeframe"": ""d""}}",专用设备,909.47,791.79,5.87,7.08,13.09,11.75,10.62,13.31,12.18,15.5,18.73,16.47,6.39,7.08,9.49,10.76,21.85,25.57,33.46,30.45,37.99,33.32,33.99,38.56,29.29,30.43,27.45,26.3,23.57,22.5,21.4,21.06
2026-08-04,002937,兴瑞科技,27.54,6.41,111253.0,-0.73,,suf,"{""suf"": {""timeframe"": ""d""}}",汽车零部件,72.84,72.63,3.56,7.37,9.3,9.37,9.01,7.3,7.77,7.92,15.18,19.54,7.59,9.04,7.84,5.48,8.93,7.08,16.59,14.38,10.93,10.78,9.37,3.49,1.82,6.5,2.65,4.07,1.92,-0.87,0.54,-1.49
2026-08-04,002943,宇晶股份,29.09,6.95,98409.0,-42.95,,suf,"{""suf"": {""timeframe"": ""d""}}",通用设备,96.41,68.31,6.33,12.38,23.62,20.97,20.32,24.48,19.11,20.01,25.51,24.3,12.51,21.45,16.74,12.38,12.48,11.07,19.11,16.23,24.85,14.75,13.61,9.49,6.57,6.63,4.19,6.29,2.92,0.31,0.1,-1.24
2026-08-04,002971,和远气体,34.09,5.57,118068.0,-7.31,,suf,"{""suf"": {""timeframe"": ""d""}}",化学制品,62.59,47.59,10.0,21.0,33.12,30.18,32.0,32.68,31.01,32.44,37.22,36.76,27.6,24.29,36.73,28.6,25.61,21.68,25.55,38.11,36.14,28.22,27.66,21.15,13.38,16.78,17.01,12.41,12.44,9.89,10.41,13.41
2026-08-04,002993,奥海科技,35.4,4.52,66816.0,-28.56,,suf,"{""suf"": {""timeframe"": ""d""}}",消费电子,131.31,113.43,5.51,5.99,8.11,7.54,7.46,10.03,11.27,10.17,15.54,15.14,5.06,6.67,8.42,5.34,6.98,7.18,10.2,6.86,9.8,7.77,5.93,6.58,3.56,7.85,4.94,5.03,2.85,0.56,1.55,0.03
2026-08-04,003018,金富科技,34.76,10.0,83457.0,6.48,,suf,"{""suf"": {""timeframe"": ""d""}}",包装印刷,72.23,27.22,10.01,13.35,14.44,10.18,10.99,13.84,13.98,18.04,22.53,23.85,14.21,12.51,23.76,20.25,32.28,26.78,35.36,29.14,42.06,45.6,47.58,62.34,59.67,58.26,50.66,48.33,43.99,40.91,39.9,38.38
2026-08-04,003031,中瓷电子,100.3,10.0,119145.0,4.24,,suf,"{""suf"": {""timeframe"": ""d""}}",通信设备,351.37,264.98,8.31,11.43,15.51,12.4,17.29,19.03,17.9,29.69,42.66,43.18,28.86,28.74,41.62,34.2,27.62,26.54,30.96,26.27,27.11,21.81,18.56,20.03,13.44,20.36,18.39,20.24,19.76,17.71,22.51,24.83
2026-08-04,300005,探路者,10.07,6.67,637867.0,-25.08,,suf,"{""suf"": {""timeframe"": ""d""}}",服装家纺,128.31,127.28,4.27,7.85,12.21,9.83,15.0,24.83,19.07,19.17,19.86,17.87,7.45,7.15,7.75,3.18,3.08,3.57,5.86,13.31,10.23,8.04,6.36,6.95,5.96,7.75,7.15,5.96,4.27,1.49,1.99,0.6
2026-08-04,300257,开山股份,18.24,4.41,86150.0,-18.87,,suf,"{""suf"": {""timeframe"": ""d""}}",通用设备,287.36,276.1,6.09,5.76,6.63,5.15,4.06,5.26,6.36,6.91,7.02,6.09,-5.65,-4.39,-4.88,-5.98,-1.64,-1.75,1.81,2.74,4.11,-0.77,-0.49,-2.58,-4.06,-2.47,-2.58,2.85,0.66,-2.25,-2.8,-2.47
2026-08-04,300429,强力新材,9.78,4.04,244952.0,-30.89,,suf,"{""suf"": {""timeframe"": ""d""}}",电子化学品Ⅱ,67.52,50.19,5.62,8.08,9.41,8.79,8.38,10.33,7.36,11.15,13.29,12.47,6.65,6.85,8.28,9.92,12.07,11.55,16.16,19.33,19.84,16.67,15.95,14.11,11.45,11.96,9.92,12.99,11.35,10.33,12.68,14.72
